637000001	Korebacter versatilis Ellin345	Bacteria	Finished
637000002	Acinetobacter baylyi ADP1	Bacteria	Finished
637000004	Alcanivorax borkumensis SK2	Bacteria	Finished
637000005	Alkalilimnicola ehrlichei MLHE-1	Bacteria	Finished
637000007	Anaeromyxobacter dehalogenans 2CP-C	Bacteria	Finished
637000008	Anaplasma marginale St. Maries	Bacteria	Finished
637000009	Anaplasma phagocytophilum HZ	Bacteria	Finished
637000010	Aquifex aeolicus VF5	Bacteria	Finished
637000011	Candidatus Phytoplasma aster yellows witches'-broom AY-WB	Bacteria	Finished
637000012	Aromatoleum aromaticum EbN1	Bacteria	Finished
637000013	Bacillus anthracis Ames Ancestor A2084	Bacteria	Finished
637000014	Bacillus anthracis Ames	Bacteria	Finished
637000015	Bacillus anthracis Sterne	Bacteria	Finished
637000016	Bacillus cereus ATCC 10987	Bacteria	Finished
637000017	Bacillus cereus ATCC 14579	Bacteria	Finished
637000018	Bacillus cereus E33L (ZK)	Bacteria	Finished
637000019	Bacillus clausii KSM-K16	Bacteria	Finished
637000020	Bacillus halodurans C-125	Bacteria	Finished
637000023	Bacillus thuringiensis sv konkukian 97-27	Bacteria	Finished
637000024	Bacteroides fragilis NCTC 9343	Bacteria	Finished
637000025	Bacteroides fragilis YCH46	Bacteria	Finished
637000026	Bacteroides thetaiotaomicron VPI-5482	Bacteria	Finished
637000027	Bartonella henselae Houston-1	Bacteria	Finished
637000028	Bartonella quintana Toulouse	Bacteria	Finished
637000029	Baumannia cicadellinicola Hc	Bacteria	Finished
637000030	Bdellovibrio bacteriovorus HD100	Bacteria	Finished
637000031	Bifidobacterium longum NCC2705	Bacteria	Finished
637000032	Bordetella bronchiseptica RB50	Bacteria	Finished
637000033	Bordetella parapertussis 12822	Bacteria	Finished
637000034	Bordetella pertussis Tohama I	Bacteria	Finished
637000036	Borrelia burgdorferi B31	Bacteria	Finished
637000038	Bradyrhizobium japonicum USDA 110	Bacteria	Finished
637000039	Brucella abortus bv 1, 9-941	Bacteria	Finished
637000040	Brucella melitensis bv 1, 16M	Bacteria	Finished
637000041	Brucella melitensis bv. 1 Abortus 2308	Bacteria	Finished
637000042	Brucella suis bv 1,1330	Bacteria	Finished
637000043	Buchnera aphidicola APS	Bacteria	Finished
637000045	Buchnera aphidicola Sg	Bacteria	Finished
637000046	Burkholderia cenocepacia AU 1054	Bacteria	Finished
637000047	Burkholderia cepacia AMMD	Bacteria	Finished
637000048	Burkholderia mallei ATCC 23344	Bacteria	Finished
637000049	Burkholderia pseudomallei 1710b	Bacteria	Finished
637000050	Burkholderia pseudomallei K96243	Bacteria	Finished
637000051	Burkholderia cepacia 383	Bacteria	Finished
637000052	Burkholderia thailandensis E264	Bacteria	Finished
637000053	Burkholderia xenovorans LB400	Bacteria	Finished
637000054	Campylobacter jejuni RM1221	Bacteria	Finished
637000055	Campylobacter jejuni jejuni NCTC 11168	Bacteria	Finished
637000056	Candidatus Blochmannia floridanus	Bacteria	Finished
637000057	Candidatus Blochmannia pennsylvanicus BPEN	Bacteria	Finished
637000058	Candidatus Pelagibacter ubique SAR11 HTCC1062	Bacteria	Finished
637000059	Candidatus Protochlamydia amoebophila UWE25	Bacteria	Finished
637000060	Carboxydothermus hydrogenoformans Z-2901	Bacteria	Finished
637000061	Caulobacter crescentus CB15	Bacteria	Finished
637000062	Chlamydia muridarum MoPn / Nigg	Bacteria	Finished
637000063	Chlamydia trachomatis A/HAR-13	Bacteria	Finished
